CodeNumber,Informal,Formal,Frontword,Lastword
1,ด้วย,เนื่องด้วย,เนื่อง,ด้วย
2,จาก,เนื่องจาก,เนื่อง,จาก
3,เชิญ,ขอเชิญ,ขอ,เชิญ
4,เข้าร่วม,เรียนเชิญเข้าร่วม,เชิญ,ร่วม
5,ต้องการ,ประสงค์,ประสงค์,ประสงค์
6,ช่วยเหลือ,สนับสนุน,สนับสนุน,สนับสนุน
7,พิจารณา,โปรดพิจารณา,โปรด,พิจารณา
8,กรุณา,ขอความกรุณา,ความ,กรุณา
9,ช่วย,สนับสนุน,สนับสนุน,สนับสนุน
10,อยาก,ต้องการ,ต้อง,การ
11,อนุเคราะห์,ความอนุเคราะห์,ความ,อนุเคราะห์
12,มกรา,มกราคม,มกราคม,มกราคม
13,กุมภา,กุมภาพันธ์,กุมภาพันธ์,กุมภาพันธ์
14,มีนา,มีนาคม,มีนาคม,มีนาคม
15,เมษา,เมษายน,เมษายน,เมษายน
16,พฤษภา,พฤษภาคม,พฤษภาคม,พฤษภาคม
17,มิถุนา,มิถุนายน,มิถุนายน,มิถุนายน
18,กรกฎา,กรกฎาคม,กรกฎาคม,กรกฎาคม
19,สิงหา,สิงหาคม,สิงหาคม,สิงหาคม
20,กันยา,กันยายน,กันยายน,กันยายน
21,ตุลา,ตุลาคม,ตุลาคม,ตุลาคม
22,พฤศจิกา,พฤศจิกายน,พฤศจิกายน,พฤศจิกายน
23,ธันวา,ธันวาคม,ธันวาคม,ธันวาคม
24,ยืม,ความอนุเคราะห์,ความอนุเคราะห์,อนุเคราะห์
25,กับ,แก่,ให้,ให้
26,เช่น,อาทิ,เช่น,เช่น
27,เช็ค,ตรวจสอบ,ตรวจ,สอบ
28,ทำงาน,ดำเนิน,ดำ,เนิน
29,มา,เข้าร่วม,เข้า,ร่วม
30,,,,
